trip_id,block_id,route_id,service_id,direction_id,shape_id
d279c678-2-7b3b433c-d,,1558b07e,2,0,994835950
9fc60208-b-7b3b433c-d,,1558b07e,2,0,994835950
e0b7365d-a-7b3b433c-d,,1558b07e,2,1,994835952
ed255fce-4-7b3b433c-d,,1558b07e,2,0,994835950
aa8bd450-b-7b3b433c-d,,1558b07e,2,0,994835950
2431d62d-6-7b3b433c-d,,1558b07e,2,0,994835950
dfc541e8-4-7b3b433c-d,,1558b07e,2,1,994835953
f77df1d1-7-7b3b433c-d,,1558b07e,2,1,994835953
8deea3e7-d-7b3b433c-d,,1558b07e,2,1,994835953
b6ccecda-b-7b3b433c-d,,1558b07e,2,0,994835951
2c1b381e-2-7b3b433c-d,,1558b07e,2,1,994835953
d5d5a85d-8-7b3b433c-d,,1558b07e,2,1,994835953
46121cfa-a-7b3b433c-d,,23d6dcc0,2,1,994835967
718386d7-9-7b3b433c-d,,23d6dcc0,2,1,994835967
9cf83f45-d-7b3b433c-d,,23d6dcc0,2,1,994835967
2758114d-7-7b3b433c-d,,23d6dcc0,2,0,994835966
96585564-a-7b3b433c-d,,23d6dcc0,2,0,994835966
551c93c6-0-7b3b433c-d,,23d6dcc0,2,0,994835966
6f420e10-1-7b3b433c-d,,7386d969,2,0,994835914
a2e76a13-f-7b3b433c-d,,7386d969,2,1,994835915
2864ad45-d-7b3b433c-d,,9857164f,2,0,994835906
286966ff-3-7b3b433c-d,,9857164f,2,0,994835906
3b4c852c-0-7b3b433c-d,,9857164f,2,0,994835906
c17dc0ee-e-7b3b433c-d,,9857164f,2,0,994835906
1687866a-f-7b3b433c-d,,9857164f,2,1,994835907
52e6ff0f-1-7b3b433c-d,,9857164f,2,1,994835907
da2cfa5d-b-7b3b433c-d,,9857164f,2,1,994835907
4438551d-b-7b3b433c-d,,9857164f,2,1,994835907
b3f678c3-f-7b3b433c-d,,9c046e15,2,0,994835948
4aa9b26d-a-7b3b433c-d,,9c046e15,2,0,994835948
e7cee191-c-7b3b433c-d,,9c046e15,2,0,994835948
c4e4e7ec-5-7b3b433c-d,,9c046e15,2,0,994835948
61536773-a-7b3b433c-d,,9c046e15,2,0,994835948
ee795d3d-0-7b3b433c-d,,9c046e15,2,1,994835949
f33e943f-1-7b3b433c-d,,9c046e15,2,1,994835949
a14818a1-2-7b3b433c-d,,9c046e15,2,1,994835949
ca88e97f-8-7b3b433c-d,,9c046e15,2,1,994835949
5efcfabb-0-7b3b433c-d,,9c046e15,2,1,994835949
24f091c7-2-7b3b433c-d,,b184d58f,2,0,994835958
24dc65d9-7-7b3b433c-d,,b184d58f,2,0,994835958
1a621781-3-7b3b433c-d,,b184d58f,2,0,994835958
3de7dfb5-e-7b3b433c-d,,b184d58f,2,0,994835958
9bd3196f-6-7b3b433c-d,,b184d58f,2,0,994835958
42d60b93-8-7b3b433c-d,,b184d58f,2,0,994835958
3075756c-4-7b3b433c-d,,b184d58f,2,0,994835958
67ad6237-2-7b3b433c-d,,b184d58f,2,0,994835958
b07cb8d4-1-7b3b433c-d,,b184d58f,2,1,994835959
7116478d-8-7b3b433c-d,,b184d58f,2,0,994835958
0d84f900-6-7b3b433c-d,,b184d58f,2,1,994835959
a666c541-5-7b3b433c-d,,b184d58f,2,0,994835958
7e4ed237-3-7b3b433c-d,,b184d58f,2,1,994835959
ddfa0c87-7-7b3b433c-d,,b184d58f,2,0,994835958
af5dcb8d-a-7b3b433c-d,,b184d58f,2,1,994835959
13166945-1-7b3b433c-d,,b184d58f,2,0,994835958
4102151f-1-7b3b433c-d,,b184d58f,2,1,994835959
76764657-8-7b3b433c-d,,b184d58f,2,0,994835958
ddabb96f-9-7b3b433c-d,,b184d58f,2,1,994835959
7ca26792-6-7b3b433c-d,,b184d58f,2,1,994835959
97ceb40d-7-7b3b433c-d,,b184d58f,2,0,994835958
a7ba2720-d-7b3b433c-d,,b184d58f,2,1,994835959
42a9434a-e-7b3b433c-d,,b184d58f,2,1,994835959
163e43df-2-7b3b433c-d,,b184d58f,2,0,994835958
f09aa81b-0-7b3b433c-d,,b184d58f,2,1,994835959
f04f7b34-6-7b3b433c-d,,b184d58f,2,1,994835959
113632f1-3-7b3b433c-d,,b184d58f,2,0,994835958
da381b73-4-7b3b433c-d,,b184d58f,2,1,994835959
07743633-e-7b3b433c-d,,b184d58f,2,1,994835959
a8808e71-b-7b3b433c-d,,b184d58f,2,0,994835958
ba6e05a8-7-7b3b433c-d,,b184d58f,2,1,994835959
f8e0f13b-f-7b3b433c-d,,b184d58f,2,0,994835958
d8b81a1c-1-7b3b433c-d,,b184d58f,2,1,994835959
2da58d8b-f-7b3b433c-d,,b184d58f,2,0,994835958
8cf24e09-6-7b3b433c-d,,b184d58f,2,1,994835959
54462113-7-7b3b433c-d,,b184d58f,2,0,994835958
113bc26c-c-7b3b433c-d,,b184d58f,2,1,994835959
d0259559-5-7b3b433c-d,,b184d58f,2,0,994835958
d9a84260-6-7b3b433c-d,,b184d58f,2,1,994835959
25702e69-c-7b3b433c-d,,b184d58f,2,0,994835958
41acfa41-0-7b3b433c-d,,b184d58f,2,1,994835959
d874c0c8-1-7b3b433c-d,,b184d58f,2,0,994835958
bb20776d-0-7b3b433c-d,,b184d58f,2,1,994835959
62c16624-5-7b3b433c-d,,b184d58f,2,0,994835958
be87489e-e-7b3b433c-d,,b184d58f,2,1,994835959
d725d181-9-7b3b433c-d,,b184d58f,2,0,994835958
e382c7eb-5-7b3b433c-d,,b184d58f,2,1,994835959
6eeae20a-9-7b3b433c-d,,b184d58f,2,0,994835958
3755c449-f-7b3b433c-d,,b184d58f,2,1,994835959
a1668b85-1-7b3b433c-d,,b184d58f,2,0,994835958
efd9b32c-c-7b3b433c-d,,b184d58f,2,0,994835958
02c2c23f-e-7b3b433c-d,,b184d58f,2,1,994835959
c1093b6e-9-7b3b433c-d,,b184d58f,2,0,994835958
38b17cc3-5-7b3b433c-d,,b184d58f,2,0,994835958
9045f8ba-7-7b3b433c-d,,b184d58f,2,1,994835959
4d4e389e-6-7b3b433c-d,,b184d58f,2,0,994835958
99972606-7-7b3b433c-d,,b184d58f,2,0,994835958
2004bfdb-c-7b3b433c-d,,b184d58f,2,1,994835959
2e23cfa4-0-7b3b433c-d,,b184d58f,2,0,994835958
fe3a1399-c-7b3b433c-d,,b184d58f,2,0,994835958
6525377e-e-7b3b433c-d,,b184d58f,2,1,994835959
55051c89-a-7b3b433c-d,,b184d58f,2,0,994835958
80ae905d-0-7b3b433c-d,,b184d58f,2,1,994835959
d1e419b9-3-7b3b433c-d,,b184d58f,2,0,994835958
094e2e7b-7-7b3b433c-d,,b184d58f,2,1,994835959
63b49a4e-9-7b3b433c-d,,b184d58f,2,0,994835958
