route_id,service_id,trip_id,direction_id,block_id,shape_id
01f3e868,1,0f5d9589-4-0c63b5bb-8,0,,994835886
01f3e868,1,62099071-0-0c63b5bb-8,0,,994835886
01f3e868,1,0654019d-a-0c63b5bb-8,1,,994835887
01f3e868,1,5bc8456d-8-0c63b5bb-8,0,,994835886
01f3e868,1,f3e6ecbc-4-0c63b5bb-8,1,,994835887
01f3e868,1,e2ad2835-5-0c63b5bb-8,0,,994835886
01f3e868,1,d18ceca1-3-0c63b5bb-8,1,,994835887
01f3e868,1,f830784e-8-0c63b5bb-8,0,,994835886
01f3e868,1,0b86a6a5-b-0c63b5bb-8,1,,994835887
01f3e868,1,b9d5313c-6-0c63b5bb-8,0,,994835886
01f3e868,1,47f0c48b-a-0c63b5bb-8,1,,994835887
01f3e868,1,46f98dca-a-0c63b5bb-8,0,,994835886
01f3e868,1,d6aa23f6-8-0c63b5bb-8,1,,994835887
01f3e868,1,41d4f927-3-0c63b5bb-8,0,,994835886
01f3e868,1,586f3b77-5-0c63b5bb-8,1,,994835887
01f3e868,1,13ff6e0b-0-0c63b5bb-8,0,,994835886
01f3e868,1,9363d7d9-f-0c63b5bb-8,1,,994835887
01f3e868,1,ab0b1c9b-a-0c63b5bb-8,0,,994835886
01f3e868,1,dbd49e5e-7-0c63b5bb-8,1,,994835887
01f3e868,1,504dc228-e-0c63b5bb-8,0,,994835886
01f3e868,1,555ba95f-0-0c63b5bb-8,1,,994835887
01f3e868,1,a1d709ad-9-0c63b5bb-8,0,,994835886
01f3e868,1,fc4bfdee-2-0c63b5bb-8,1,,994835887
01f3e868,1,a9940342-d-0c63b5bb-8,0,,994835886
01f3e868,1,afe0780a-5-0c63b5bb-8,1,,994835887
01f3e868,1,d90277a9-7-0c63b5bb-8,0,,994835886
01f3e868,1,e9c760f3-5-0c63b5bb-8,1,,994835887
01f3e868,1,902f5377-3-0c63b5bb-8,0,,994835886
01f3e868,1,dd29c9a9-b-0c63b5bb-8,1,,994835887
01f3e868,1,2bb90fad-8-0c63b5bb-8,0,,994835886
01f3e868,1,033fb088-c-0c63b5bb-8,1,,994835887
01f3e868,1,6a1ad6f1-4-0c63b5bb-8,0,,994835886
01f3e868,1,a2fea9e7-1-0c63b5bb-8,1,,994835887
01f3e868,1,6a1affb4-c-0c63b5bb-8,0,,994835886
01f3e868,1,d1b5167d-9-0c63b5bb-8,1,,994835887
01f3e868,1,7fb5bb1c-5-0c63b5bb-8,0,,994835886
01f3e868,1,7c847029-d-0c63b5bb-8,1,,994835887
01f3e868,1,22cb1ed4-f-0c63b5bb-8,0,,994835886
01f3e868,1,01a4685a-c-0c63b5bb-8,1,,994835887
01f3e868,1,7f2756ab-7-0c63b5bb-8,0,,994835886
01f3e868,1,d26fa14e-6-0c63b5bb-8,1,,994835887
01f3e868,1,8bda5875-2-0c63b5bb-8,0,,994835886
