trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
3627061,21:43:00,21:43:00,33080,18,0,0
3627061,21:44:00,21:44:00,45975,19,0,0
3627061,21:44:00,21:44:00,45985,20,0,0
3627061,21:44:00,21:44:00,45977,21,0,0
3627061,21:46:00,21:46:00,45979,22,0,0
3627061,21:46:00,21:46:00,05750,23,0,0
3627061,21:46:00,21:46:00,05730,24,0,0
3627061,21:47:00,21:47:00,36090,25,0,0
3627061,21:47:00,21:47:00,36100,26,0,0
3627061,21:47:00,21:47:00,36110,27,0,0
3627061,21:48:00,21:48:00,36120,28,0,0
3627061,21:48:00,21:48:00,31060,29,0,0
3627061,21:49:00,21:49:00,31030,30,0,0
3627061,21:50:00,21:50:00,31010,31,0,0
3627061,21:50:00,21:50:00,30990,32,0,0
3627061,21:50:00,21:50:00,30970,33,0,0
3627061,21:51:00,21:51:00,30950,34,0,0
3627061,21:51:00,21:51:00,30951,35,0,0
3627061,21:52:00,21:52:00,30952,36,0,0
3627061,21:54:00,21:54:00,60280,37,1,0
3627062,16:47:00,16:47:00,60280,1,0,0
3627062,16:49:00,16:49:00,30942,2,0,0
3627062,16:49:00,16:49:00,30941,3,0,0
3627062,16:50:00,16:50:00,30940,4,0,0
3627062,16:50:00,16:50:00,30960,5,0,0
3627062,16:51:00,16:51:00,30980,6,0,0
3627062,16:51:00,16:51:00,31000,7,0,0
3627062,16:52:00,16:52:00,31020,8,0,0
3627062,16:52:00,16:52:00,31040,9,0,0
3627062,16:52:00,16:52:00,31070,10,0,0
3627062,16:53:00,16:53:00,31080,11,0,0
3627062,16:55:00,16:55:00,32490,12,0,0
3627062,16:55:00,16:55:00,32480,13,0,0
3627062,16:56:00,16:56:00,32470,14,0,0
3627062,16:57:00,16:57:00,32455,15,0,0
3627062,16:58:00,16:58:00,45925,16,0,0
3627062,16:59:00,16:59:00,45935,17,0,0
3627062,17:00:00,17:00:00,45945,18,0,0
3627062,17:01:00,17:01:00,45947,19,1,0
3627064,22:21:00,22:21:00,45947,1,0,0
3627064,22:22:00,22:22:00,60291,2,0,0
3627064,22:23:00,22:23:00,00720,3,0,0
3627064,22:23:00,22:23:00,00750,4,0,0
3627064,22:24:00,22:24:00,09680,5,0,0
3627064,22:24:00,22:24:00,09695,6,0,0
3627064,22:24:00,22:24:00,04220,7,0,0
3627064,22:24:00,22:24:00,16650,8,0,0
3627064,22:25:00,22:25:00,11230,9,0,0
3627064,22:25:00,22:25:00,11250,10,0,0
3627064,22:25:00,22:25:00,30230,11,0,0
3627064,22:26:00,22:26:00,30240,12,0,0
3627064,22:26:00,22:26:00,45955,13,0,0
3627064,22:27:00,22:27:00,45820,14,0,0
3627064,22:27:00,22:27:00,45965,15,0,0
3627064,22:28:00,22:28:00,46393,16,0,0
3627064,22:29:00,22:29:00,09420,17,0,0
3627064,22:29:00,22:29:00,33080,18,0,0
3627064,22:30:00,22:30:00,45975,19,0,0
3627064,22:30:00,22:30:00,45985,20,0,0
3627064,22:30:00,22:30:00,45977,21,0,0
3627064,22:32:00,22:32:00,45979,22,0,0
3627064,22:32:00,22:32:00,05750,23,0,0
3627064,22:32:00,22:32:00,05730,24,0,0
3627064,22:33:00,22:33:00,36090,25,0,0
3627064,22:33:00,22:33:00,36100,26,0,0
3627064,22:33:00,22:33:00,36110,27,0,0
3627064,22:34:00,22:34:00,36120,28,0,0
3627064,22:34:00,22:34:00,31060,29,0,0
3627064,22:35:00,22:35:00,31030,30,0,0
3627064,22:36:00,22:36:00,31010,31,0,0
3627064,22:36:00,22:36:00,30990,32,0,0
3627064,22:36:00,22:36:00,30970,33,0,0
3627064,22:37:00,22:37:00,30950,34,0,0
3627064,22:37:00,22:37:00,30951,35,0,0
3627064,22:38:00,22:38:00,30952,36,0,0
3627064,22:40:00,22:40:00,60280,37,1,0
3627066,19:02:00,19:02:00,60280,1,0,0
3627066,19:04:00,19:04:00,30942,2,0,0
3627066,19:04:00,19:04:00,30941,3,0,0
3627066,19:05:00,19:05:00,30940,4,0,0
3627066,19:05:00,19:05:00,30960,5,0,0
3627066,19:06:00,19:06:00,30980,6,0,0
3627066,19:06:00,19:06:00,31000,7,0,0
3627066,19:07:00,19:07:00,31020,8,0,0
3627066,19:07:00,19:07:00,31040,9,0,0
3627066,19:07:00,19:07:00,31070,10,0,0
3627066,19:08:00,19:08:00,31080,11,0,0
3627066,19:10:00,19:10:00,32490,12,0,0
3627066,19:10:00,19:10:00,32480,13,0,0
3627066,19:11:00,19:11:00,32470,14,0,0
3627066,19:12:00,19:12:00,32455,15,0,0
3627066,19:13:00,19:13:00,45925,16,0,0
3627066,19:14:00,19:14:00,45935,17,0,0
3627066,19:15:00,19:15:00,45945,18,0,0
3627066,19:16:00,19:16:00,45947,19,1,0
3627069,15:17:00,15:17:00,60280,1,0,0
3627069,15:19:00,15:19:00,30942,2,0,0
3627069,15:19:00,15:19:00,30941,3,0,0
3627069,15:20:00,15:20:00,30940,4,0,0
3627069,15:20:00,15:20:00,30960,5,0,0
3627069,15:21:00,15:21:00,30980,6,0,0
3627069,15:21:00,15:21:00,31000,7,0,0
3627069,15:22:00,15:22:00,31020,8,0,0
3627069,15:22:00,15:22:00,31040,9,0,0
3627069,15:22:00,15:22:00,31070,10,0,0
3627069,15:23:00,15:23:00,31080,11,0,0
3627069,15:25:00,15:25:00,32490,12,0,0
3627069,15:25:00,15:25:00,32480,13,0,0
3627069,15:26:00,15:26:00,32470,14,0,0
3627069,15:27:00,15:27:00,32455,15,0,0
3627069,15:28:00,15:28:00,45925,16,0,0
3627069,15:29:00,15:29:00,45935,17,0,0
3627069,15:30:00,15:30:00,45945,18,0,0
3627069,15:31:00,15:31:00,45947,19,1,0
3627070,17:32:00,17:32:00,60280,1,0,0
3627070,17:34:00,17:34:00,30942,2,0,0
3627070,17:34:00,17:34:00,30941,3,0,0
3627070,17:35:00,17:35:00,30940,4,0,0
3627070,17:35:00,17:35:00,30960,5,0,0
3627070,17:36:00,17:36:00,30980,6,0,0
3627070,17:36:00,17:36:00,31000,7,0,0
3627070,17:37:00,17:37:00,31020,8,0,0
3627070,17:37:00,17:37:00,31040,9,0,0
3627070,17:37:00,17:37:00,31070,10,0,0
