service_id,date,exception_type
TRYON-Saturday-1-BUS-19-10-0000010,20191221,1
TRYON-Saturday-1-BUS-19-10-0000010,20191224,1
TRYON-Saturday-1-BUS-19-10-0000010,20191228,1
TRYON-Saturday-1-BUS-19-10-0000010,20200104,1
TRYON-Saturday-1-BUS-19-10-0000010,20200111,1
TRYON-Saturday-1-BUS-19-10-0000010,20200118,1
TRYON-Saturday-1-BUS-19-10-0000010,20200120,1
TRYON-Saturday-1-BUS-19-10-0000010,20200125,1
TRYON-Saturday-1-BUS-19-10-0000010,20200201,1
TRYON-Saturday-2-BUS-19-06-0000010,20190928,1
TRYON-Saturday-2-BUS-19-06-0000010,20191005,1
TRYON-Sunday-1-BUS-19-10-0000001,20191013,1
TRYON-Sunday-1-BUS-19-10-0000001,20191020,1
TRYON-Sunday-1-BUS-19-10-0000001,20191027,1
TRYON-Sunday-1-BUS-19-10-0000001,20191103,1
TRYON-Sunday-1-BUS-19-10-0000001,20191110,1
TRYON-Sunday-1-BUS-19-10-0000001,20191117,1
TRYON-Sunday-1-BUS-19-10-0000001,20191124,1
TRYON-Sunday-1-BUS-19-10-0000001,20191128,1
TRYON-Sunday-1-BUS-19-10-0000001,20191201,1
TRYON-Sunday-1-BUS-19-10-0000001,20191208,1
TRYON-Sunday-1-BUS-19-10-0000001,20191215,1
TRYON-Sunday-1-BUS-19-10-0000001,20191222,1
TRYON-Sunday-1-BUS-19-10-0000001,20191225,1
TRYON-Sunday-1-BUS-19-10-0000001,20191229,1
TRYON-Sunday-1-BUS-19-10-0000001,20200101,1
TRYON-Sunday-1-BUS-19-10-0000001,20200105,1
TRYON-Sunday-1-BUS-19-10-0000001,20200112,1
TRYON-Sunday-1-BUS-19-10-0000001,20200119,1
TRYON-Sunday-1-BUS-19-10-0000001,20200126,1
TRYON-Sunday-1-BUS-19-10-0000001,20200202,1
TRYON-Sunday-2-BUS-19-06-0000001,20190929,1
TRYON-Sunday-2-BUS-19-06-0000001,20191006,1
TRYON-Weekday-1-BUS-19-10-0000100,20191011,1
TRYON-Weekday-1-BUS-19-10-0000100,20191018,1
TRYON-Weekday-1-BUS-19-10-0000100,20191025,1
TRYON-Weekday-1-BUS-19-10-0000100,20191101,1
TRYON-Weekday-1-BUS-19-10-0000100,20191108,1
TRYON-Weekday-1-BUS-19-10-0000100,20191115,1
TRYON-Weekday-1-BUS-19-10-0000100,20191122,1
TRYON-Weekday-1-BUS-19-10-0000100,20191206,1
TRYON-Weekday-1-BUS-19-10-0000100,20191213,1
TRYON-Weekday-1-BUS-19-10-0000100,20191220,1
TRYON-Weekday-1-BUS-19-10-0000100,20191227,1
TRYON-Weekday-1-BUS-19-10-0000100,20200103,1
TRYON-Weekday-1-BUS-19-10-0000100,20200110,1
TRYON-Weekday-1-BUS-19-10-0000100,20200117,1
TRYON-Weekday-1-BUS-19-10-0000100,20200124,1
TRYON-Weekday-1-BUS-19-10-0000100,20200131,1
TRYON-Weekday-1-BUS-19-10-1111000,20191007,1
TRYON-Weekday-1-BUS-19-10-1111000,20191008,1
TRYON-Weekday-1-BUS-19-10-1111000,20191009,1
TRYON-Weekday-1-BUS-19-10-1111000,20191010,1
TRYON-Weekday-1-BUS-19-10-1111000,20191014,1
TRYON-Weekday-1-BUS-19-10-1111000,20191015,1
TRYON-Weekday-1-BUS-19-10-1111000,20191016,1
TRYON-Weekday-1-BUS-19-10-1111000,20191017,1
TRYON-Weekday-1-BUS-19-10-1111000,20191021,1
TRYON-Weekday-1-BUS-19-10-1111000,20191022,1
TRYON-Weekday-1-BUS-19-10-1111000,20191023,1
TRYON-Weekday-1-BUS-19-10-1111000,20191024,1
TRYON-Weekday-1-BUS-19-10-1111000,20191028,1
TRYON-Weekday-1-BUS-19-10-1111000,20191029,1
TRYON-Weekday-1-BUS-19-10-1111000,20191030,1
TRYON-Weekday-1-BUS-19-10-1111000,20191031,1
TRYON-Weekday-1-BUS-19-10-1111000,20191104,1
TRYON-Weekday-1-BUS-19-10-1111000,20191105,1
TRYON-Weekday-1-BUS-19-10-1111000,20191106,1
TRYON-Weekday-1-BUS-19-10-1111000,20191107,1
TRYON-Weekday-1-BUS-19-10-1111000,20191111,1
TRYON-Weekday-1-BUS-19-10-1111000,20191112,1
TRYON-Weekday-1-BUS-19-10-1111000,20191113,1
TRYON-Weekday-1-BUS-19-10-1111000,20191114,1
TRYON-Weekday-1-BUS-19-10-1111000,20191118,1
TRYON-Weekday-1-BUS-19-10-1111000,20191119,1
TRYON-Weekday-1-BUS-19-10-1111000,20191120,1
TRYON-Weekday-1-BUS-19-10-1111000,20191121,1
TRYON-Weekday-1-BUS-19-10-1111000,20191125,1
TRYON-Weekday-1-BUS-19-10-1111000,20191126,1
TRYON-Weekday-1-BUS-19-10-1111000,20191127,1
TRYON-Weekday-1-BUS-19-10-1111000,20191202,1
TRYON-Weekday-1-BUS-19-10-1111000,20191203,1
TRYON-Weekday-1-BUS-19-10-1111000,20191204,1
TRYON-Weekday-1-BUS-19-10-1111000,20191205,1
TRYON-Weekday-1-BUS-19-10-1111000,20191209,1
TRYON-Weekday-1-BUS-19-10-1111000,20191210,1
TRYON-Weekday-1-BUS-19-10-1111000,20191211,1
TRYON-Weekday-1-BUS-19-10-1111000,20191212,1
TRYON-Weekday-1-BUS-19-10-1111000,20191216,1
TRYON-Weekday-1-BUS-19-10-1111000,20191217,1
TRYON-Weekday-1-BUS-19-10-1111000,20191218,1
TRYON-Weekday-1-BUS-19-10-1111000,20191219,1
TRYON-Weekday-1-BUS-19-10-1111000,20191223,1
TRYON-Weekday-1-BUS-19-10-1111000,20191226,1
TRYON-Weekday-1-BUS-19-10-1111000,20191230,1
TRYON-Weekday-1-BUS-19-10-1111000,20191231,1
TRYON-Weekday-1-BUS-19-10-1111000,20200102,1
