stop_id,stop_code,stop_name,stop_lat,stop_lon
37176,,"Trade St & Park Center Dr",35.119633,-80.718749
37180,,"Trade St & Matthews Township Pkwy",35.121085,-80.717611
45924,,"Sam Newell Rd & Mann Dr",35.124168,-80.717873
42357,,"Sam Newell Rd & Matthews Commons Dr",35.132559,-80.718706
42355,,"Matthews Park & Ride",35.134297,-80.715534
46560,,"Windsor Square Dr & Independence Blvd",35.132748,-80.712698
42358,,"Sam Newell Rd & Matthews Commons Dr",35.131724,-80.719234
45932,,"Sam Newell Rd & Mann Dr",35.124111,-80.718002
37235,,"Trade St & Park Center Dr",35.119662,-80.718893
remix_e2e21186-3449-428f-9928-a9348642f781,,"Untitled Stop",35.118473,-80.720152
remix_379292c5-da82-4d12-938c-17ed327f2ec9,,"Untitled Stop",35.117966,-80.719858
remix_f8e391d8-88b3-4b90-8c33-6801c8aac30d,,"Untitled Stop",35.117534,-80.705576
remix_b5b99d01-e026-4f5f-ae74-488d94ace6d4,,"Untitled Stop",35.117711,-80.703360
remix_41ba7368-14d3-4ef5-beb4-57c66d40f77c,,"Untitled Stop",35.117004,-80.699714
remix_1595da28-3329-4e3c-ab20-c57373d08990,,"Untitled Stop",35.114305,-80.698679
remix_e2b9b5d2-db79-41f5-8d45-712e275c0625,,"Untitled Stop",35.110932,-80.698511
remix_4f327913-dfcf-4337-b3a1-21d0e1f0caf8,,"Untitled Stop",35.109624,-80.702268
remix_e1c42278-2e2e-4fc5-90aa-7d104afb23f3,,"Untitled Stop",35.107180,-80.701452
remix_0fb6a19d-f01f-442a-a9c7-57b598d85fe4,,"Untitled Stop",35.103420,-80.631637
remix_ed5e4cd9-cb1e-4f9c-ae13-e068d05e90e1,,"Untitled Stop",35.101612,-80.634965
remix_ec95d507-3f41-4607-8a77-24c6fde31e1c,,"Untitled Stop",35.099260,-80.637845
remix_1de536e5-d862-4849-8271-9ae30d8ddaf1,,"Untitled Stop",35.096886,-80.640666
remix_967c4073-ba04-474c-8876-65921d28134e,,"Untitled Stop",35.094827,-80.643833
remix_7e7e3b84-2562-45f5-bbd1-adee3e112cea,,"Untitled Stop",35.093360,-80.647436
remix_63c3c67c-6dad-4bad-bafa-61f5aecd3dfa,,"Untitled Stop",35.091427,-80.650724
remix_1b1457b5-8639-4e9d-9c22-714c5c1d2142,,"Untitled Stop",35.089191,-80.653732
remix_92ceeeef-1e2b-4d21-8875-d02a37478635,,"Untitled Stop",35.086956,-80.656741
remix_fa230447-5cf0-4c69-98cc-690c5d03c549,,"Untitled Stop",35.084721,-80.659749
remix_0d4ee9e7-2c1a-41ed-aa41-b0a07aaa6ae3,,"Untitled Stop",35.082421,-80.662495
remix_34fc8411-9926-468a-bbdd-afe505ddff37,,"Untitled Stop",35.080010,-80.665291
remix_f080f004-8ebd-442a-8d84-3a62023c4066,,"Untitled Stop",35.079685,-80.667986
remix_4b441cf9-a953-498c-ad88-31258bc8dc2e,,"Untitled Stop",35.082205,-80.669539
remix_79ab1387-d443-42c9-8a61-bc0d316f40a8,,"Untitled Stop",35.084962,-80.670915
remix_35329ad3-ee25-4a51-b7a7-9e83f693525f,,"Untitled Stop",35.087863,-80.671831
